Legend
======

Circle:
Name:          Name of the circle
X1,Y1,Z1:      Coordinates of the center
R:             Radius

Data
====

Circle:
Name    	X1       	Y1     	Z1       	R        	
hh3pt   	459.7757 	0.0000 	723.3889 	220.4977 	
phantom 	993.8402 	0.0000 	756.2126 	 30.0314 	

Legend
======

Point:
Name:          Name of the point
X1,Y1,Z1:      Coordinates of the point

Data
====

Point:
Name  	X1       	Y1     	Z1       	
ss3_1 	622.4586 	0.0000 	588.8492 	
hh4   	541.4799 	0.0000 	921.8576 	
ss3_2 	708.3931 	0.0000 	575.3754 	
ss3_3 	851.1587 	0.0000 	553.8481 	
ss4_1 	669.6057 	0.0000 	535.7155 	
ss4_2 	761.2273 	0.0000 	509.5937 	
ss2_2 	864.5670 	0.0000 	744.2101 	
ss1_2 	824.8692 	0.0000 	840.1882 	
ss1_3 	902.2547 	0.0000 	855.2633 	
hh6   	626.8316 	0.0000 	863.8950 	
hh7   	651.6727 	0.0000 	833.9582 	
hh8   	677.1508 	0.0000 	777.2694 	
hh9   	687.3421 	0.0000 	711.0264 	
hh10  	679.6987 	0.0000 	654.9745 	
hh11  	664.4118 	0.0000 	609.7509 	
hh12  	634.4750 	0.0000 	562.6164 	
gp1   	672.2510 	0.0000 	845.5964 	
gp2   	634.9078 	0.0000 	912.6445 	
gp3   	611.1439 	0.0000 	937.2571 	
gp4   	690.9226 	0.0000 	672.4596 	
gp5   	688.3765 	0.0000 	772.6074 	
hh13  	605.4172 	0.0000 	539.1450 	
hh14  	366.8373 	0.0000 	922.5769 	
hh15  	564.2338 	0.0000 	527.7840 	
ss4_3 	935.5032 	0.0000 	453.0612 	
ss2_3 	927.3799 	0.0000 	749.2351 	
ss1_1 	762.0563 	0.0000 	829.6356 	
ss2_1 	778.1364 	0.0000 	739.1851 	
hh1   	394.9809 	0.0000 	943.5140 	
hh2   	447.2110 	0.0000 	947.3358 	
hh3   	495.6194 	0.0000 	939.6923 	
hh5   	586.7036 	0.0000 	897.0165 	

