,,,,lineOfAction,lineOfAction
,,,,mean,std
region,position,load,plane,,
ss1,ABER,0N,SP,164.15015699550747,14.143635600525917
ss1,ABER,0N,TP,178.87798070433246,10.184572154717978
ss1,ABER,20N,SP,165.61514752843638,14.13248757910357
ss1,ABER,20N,TP,179.45367097826954,10.687152576977624
ss1,ABER,40N,SP,163.60928997945177,15.117406674364117
ss1,ABER,40N,TP,180.21795699130914,16.78087464102169
ss1,APP,0N,SP,167.94140240939734,12.024692111102308
ss1,APP,0N,TP,180.60426308139367,14.846088888329017
ss1,APP,20N,SP,171.80711459652713,10.382975244623921
ss1,APP,20N,TP,182.04496514407347,7.085810092594254
ss1,APP,40N,SP,168.39249152637234,12.544591830681775
ss1,APP,40N,TP,176.65429088601672,19.651611970201483
ss1,abd0,0N,SP,183.48754129141412,12.125887198619965
ss1,abd0,0N,TP,174.37230031263886,13.973985447306678
ss1,abd0,20N,SP,184.30972337232396,11.732076238040305
ss1,abd0,20N,TP,175.83290130601307,11.256409692360634
ss1,abd0,40N,SP,184.84873790914097,11.721658674776512
ss1,abd0,40N,TP,173.7236374757411,15.113418979815622
ss1,abd90,0N,SP,177.83478976799788,22.852986265311866
ss1,abd90,0N,TP,186.87681036550657,15.829862123815255
ss1,abd90,20N,SP,177.88635654583163,22.1940594881848
ss1,abd90,20N,TP,181.70803171874212,20.717580655533784
ss1,abd90,40N,SP,178.03817657225474,21.906905770724645
ss1,abd90,40N,TP,185.88658661225463,15.879203539603813
ss2,ABER,0N,SP,158.9526234971833,12.064918870739598
ss2,ABER,0N,TP,185.5056774888501,8.641402925647977
ss2,ABER,20N,SP,157.7880601193063,13.66862264446383
ss2,ABER,20N,TP,177.47219227915306,15.362475347752829
ss2,ABER,40N,SP,158.69119473789328,12.718369858772352
ss2,ABER,40N,TP,181.61795298419693,8.884027487323813
ss2,APP,0N,SP,163.53136272055508,10.460230949022874
ss2,APP,0N,TP,180.512301080511,9.50502637791554
ss2,APP,20N,SP,165.5321531045384,10.149420304999733
ss2,APP,20N,TP,175.71305142374132,15.24509894328291
ss2,APP,40N,SP,162.95401970807993,11.912510244081112
ss2,APP,40N,TP,174.8920010807205,17.250308773630053
ss2,abd0,0N,SP,170.94564312366646,13.37588498855447
ss2,abd0,0N,TP,180.30867192389016,15.908399021975876
ss2,abd0,20N,SP,173.52840978993396,11.806379830037324
