,,,,,lineOfAction,lineOfAction
,,,,,mean,std
region,condition,position,load,plane,,
ss1,split25_lower,ABER,0N,SP,170.58785423475146,7.420970415955566
ss1,split25_lower,ABER,0N,TP,190.02749711159834,10.358464170341362
ss1,split25_lower,ABER,20N,SP,167.95072759062595,6.506880649948499
ss1,split25_lower,ABER,20N,TP,188.20171110017793,14.729221531964608
ss1,split25_lower,ABER,40N,SP,170.95325531608785,9.052351058040825
ss1,split25_lower,ABER,40N,TP,186.2165270366428,22.315043601248128
ss1,split25_lower,APP,0N,SP,166.9753284236771,10.511930198384047
ss1,split25_lower,APP,0N,TP,188.74594868396034,17.49796908054363
ss1,split25_lower,APP,20N,SP,166.2807705981695,13.060566788083518
ss1,split25_lower,APP,20N,TP,182.96524849664607,24.80265377394597
ss1,split25_lower,APP,40N,SP,167.3738124512176,12.885321843423485
ss1,split25_lower,APP,40N,TP,187.24628499324882,22.609525989320577
ss1,split25_lower,abd0,0N,SP,168.25429115709892,22.12787494337393
ss1,split25_lower,abd0,0N,TP,184.52736457392228,16.19137905796759
ss1,split25_lower,abd0,20N,SP,166.5396772317393,21.365418437378814
ss1,split25_lower,abd0,20N,TP,187.25605893502717,13.447485283530265
ss1,split25_lower,abd0,40N,SP,167.9110175279389,21.816930817454242
ss1,split25_lower,abd0,40N,TP,183.5581112982568,15.491758631394552
ss1,split25_lower,abd90,0N,SP,179.25687212970735,14.60788139168706
ss1,split25_lower,abd90,0N,TP,187.20070374746507,18.658879460476435
ss1,split25_lower,abd90,20N,SP,179.87364198248522,12.912910030694258
ss1,split25_lower,abd90,20N,TP,187.0170589413403,19.328196449231946
ss1,split25_lower,abd90,40N,SP,179.9811478495222,12.381270979860542
ss1,split25_lower,abd90,40N,TP,188.72534322506021,17.679815415773216
ss1,split25_upper,ABER,0N,SP,169.39658672344058,9.764375386851293
ss1,split25_upper,ABER,0N,TP,177.42943723473647,22.940037740152437
ss1,split25_upper,ABER,20N,SP,166.6485901158511,13.23242981953331
ss1,split25_upper,ABER,20N,TP,183.99553775818006,22.52482089176934
ss1,split25_upper,ABER,40N,SP,170.0126744722607,12.418379096620408
ss1,split25_upper,ABER,40N,TP,191.24382249404852,20.481246943791152
ss1,split25_upper,APP,0N,SP,171.20308432631157,11.565087886859773
ss1,split25_upper,APP,0N,TP,185.0152174643161,13.99422450079496
ss1,split25_upper,APP,20N,SP,169.5115614119136,14.371510157816914
ss1,split25_upper,APP,20N,TP,188.56798327682654,18.28595165584572
ss1,split25_upper,APP,40N,SP,170.70049284637938,12.138567009760369
ss1,split25_upper,APP,40N,TP,187.48586000152434,20.989379029695982
ss1,split25_upper,abd0,0N,SP,178.3398344454553,16.115255933088747
ss1,split25_upper,abd0,0N,TP,178.2933610511438,23.97608458462923
ss1,split25_upper,abd0,20N,SP,180.25130161662247,14.150156723511403
ss1,split25_upper,abd0,20N,TP,182.88738422825998,23.596064416230682
ss1,split25_upper,abd0,40N,SP,177.4092594599132,13.37259543823629
ss1,split25_upper,abd0,40N,TP,184.64986818110825,21.36201608526519
ss1,split25_upper,abd90,0N,SP,182.5711579616095,10.715085654325243
ss1,split25_upper,abd90,0N,TP,185.1072324696667,12.596676663669655
ss1,split25_upper,abd90,20N,SP,182.466526541356,13.628453998942183
ss1,split25_upper,abd90,20N,TP,190.45429476042003,17.787892867134012
ss1,split25_upper,abd90,40N,SP,182.93690032084214,11.809176863420584
ss1,split25_upper,abd90,40N,TP,189.80916213561034,14.60984708467662
ss1,split50,ABER,0N,SP,164.15015699593187,14.143635600263375
ss1,split50,ABER,0N,TP,178.87798070433246,10.184572154717976
ss1,split50,ABER,20N,SP,165.61514752843638,14.13248757910357
ss1,split50,ABER,20N,TP,179.4536709782696,10.687152576977624
ss1,split50,ABER,40N,SP,163.60928997945177,15.117406674364117
ss1,split50,ABER,40N,TP,180.2179569913091,16.780874641021686
ss1,split50,APP,0N,SP,167.94140240939734,12.024692111102308
ss1,split50,APP,0N,TP,180.60426308139367,14.846088888329016
ss1,split50,APP,20N,SP,171.8071145965271,10.382975244623921
ss1,split50,APP,20N,TP,182.04496514407347,7.085810092594254
ss1,split50,APP,40N,SP,168.39249152637234,12.544591830681776
ss1,split50,APP,40N,TP,176.65429088601675,19.651611970201483
