,,,,,momentArm,momentArm
,,,,,mean,std
region,condition,position,load,plane,,
ss1,split25_lower,ABER,0N,SP,16.714259624728466,9.44797734337024
ss1,split25_lower,ABER,0N,TP,20.36682833787379,8.678356832657562
ss1,split25_lower,ABER,20N,SP,17.363988412174766,8.830008809281482
ss1,split25_lower,ABER,20N,TP,18.26537726327569,9.56772000280586
ss1,split25_lower,ABER,40N,SP,15.933401017741993,10.511563306519916
ss1,split25_lower,ABER,40N,TP,17.744864169360348,11.55310117798556
ss1,split25_lower,APP,0N,SP,18.7903647143314,8.833363315957175
ss1,split25_lower,APP,0N,TP,19.23865772341135,7.320282185627068
ss1,split25_lower,APP,20N,SP,18.564716430716434,10.59223798933667
ss1,split25_lower,APP,20N,TP,18.665551706505035,13.558619996998212
ss1,split25_lower,APP,40N,SP,18.238633896917296,9.216435619365479
ss1,split25_lower,APP,40N,TP,18.880333749197664,11.949833381557795
ss1,split25_lower,abd0,0N,SP,14.139010975959112,11.335137155525084
ss1,split25_lower,abd0,0N,TP,23.693855724749326,7.323391560532038
ss1,split25_lower,abd0,20N,SP,14.069914079813339,12.469832498157563
ss1,split25_lower,abd0,20N,TP,23.916262573128698,6.887054540770975
ss1,split25_lower,abd0,40N,SP,12.057427203914287,11.766823897633573
ss1,split25_lower,abd0,40N,TP,23.557679592102232,6.407728255036868
ss1,split25_lower,abd90,0N,SP,8.434401778702512,13.564021654010753
ss1,split25_lower,abd90,0N,TP,23.207388411374367,7.919573129995336
ss1,split25_lower,abd90,20N,SP,8.374888696118887,13.497815514737646
ss1,split25_lower,abd90,20N,TP,22.351592389178492,10.093821702967487
ss1,split25_lower,abd90,40N,SP,7.241901855248543,13.187934861008394
ss1,split25_lower,abd90,40N,TP,24.557001035717747,6.80620175501593
ss1,split25_upper,ABER,0N,SP,17.777830351524443,8.134967858282529
ss1,split25_upper,ABER,0N,TP,12.070963086341319,12.106113620008387
ss1,split25_upper,ABER,20N,SP,19.043844915021353,10.891671463210592
ss1,split25_upper,ABER,20N,TP,16.310787951016657,10.93824703813694
ss1,split25_upper,ABER,40N,SP,17.146600364966197,9.986380438302172
ss1,split25_upper,ABER,40N,TP,16.005388748447142,12.200470671162343
ss1,split25_upper,APP,0N,SP,16.240082144292852,9.733716936737245
ss1,split25_upper,APP,0N,TP,21.351317200385086,8.002667245768645
ss1,split25_upper,APP,20N,SP,16.378389745146112,9.24623335827893
ss1,split25_upper,APP,20N,TP,21.78488863729449,10.371582355804914
ss1,split25_upper,APP,40N,SP,16.98641234611114,9.596450337665374
ss1,split25_upper,APP,40N,TP,20.12270914152103,11.253009921255083
ss1,split25_upper,abd0,0N,SP,8.587515083731628,18.63939324171866
ss1,split25_upper,abd0,0N,TP,20.44555988704608,14.14948073443548
ss1,split25_upper,abd0,20N,SP,6.981471981478842,18.131924614389266
ss1,split25_upper,abd0,20N,TP,22.574179230830836,11.148539282731775
ss1,split25_upper,abd0,40N,SP,11.733761966871828,13.536657885993934
ss1,split25_upper,abd0,40N,TP,23.262237234297412,10.000242481163298
ss1,split25_upper,abd90,0N,SP,6.64468151358651,10.092550488583294
ss1,split25_upper,abd90,0N,TP,22.554136422552084,8.628662553639899
ss1,split25_upper,abd90,20N,SP,3.758614782093691,11.356779465521553
ss1,split25_upper,abd90,20N,TP,24.01087250409193,8.681309520661523
ss1,split25_upper,abd90,40N,SP,3.7580459861181232,11.31156022971302
ss1,split25_upper,abd90,40N,TP,23.660473612453632,9.305703528177737
ss1,split50,ABER,0N,SP,21.90642280220419,7.28192977157275
ss1,split50,ABER,0N,TP,16.618071283720447,8.969871198472442
ss1,split50,ABER,20N,SP,21.56849897468887,7.400272832589572
ss1,split50,ABER,20N,TP,17.392016656712293,8.966135548165324
ss1,split50,ABER,40N,SP,22.373502480473572,7.053461835013465
ss1,split50,ABER,40N,TP,17.621341410232528,11.97194651705833
ss1,split50,APP,0N,SP,21.40028327480369,5.76062943119776
ss1,split50,APP,0N,TP,21.882389378260932,9.391625654912938
ss1,split50,APP,20N,SP,20.01394092471235,4.750773813481794
ss1,split50,APP,20N,TP,24.840968676716344,3.8873440923318103
ss1,split50,APP,40N,SP,22.00105497811399,5.4060229420903045
ss1,split50,APP,40N,TP,21.25132393542734,9.15063906093508
