,,,,,stabilityRatio,stabilityRatio
,,,,,mean,std
region,condition,position,load,plane,,
ss1,split25_lower,ABER,0N,SP,-0.16785855476533657,0.13318573319681318
ss1,split25_lower,ABER,0N,TP,-0.18277483732370586,0.19209213083905655
ss1,split25_lower,ABER,20N,SP,-0.21557008510347525,0.11821359405547366
ss1,split25_lower,ABER,20N,TP,-0.15752901884109075,0.28613585489462806
ss1,split25_lower,ABER,40N,SP,-0.16153879394076603,0.1611473086733885
ss1,split25_lower,ABER,40N,TP,-0.11981025119372579,0.4496137647663952
ss1,split25_lower,APP,0N,SP,-0.23612582778529637,0.191413067577967
ss1,split25_lower,APP,0N,TP,-0.17517280741187025,0.3563588369572617
ss1,split25_lower,APP,20N,SP,-0.2517965568369466,0.242939080007298
ss1,split25_lower,APP,20N,TP,-0.04624896631465191,0.5284873866884411
ss1,split25_lower,APP,40N,SP,-0.232590053538662,0.2403190413141244
ss1,split25_lower,APP,40N,TP,-0.14879930591858426,0.458750049200839
ss1,split25_lower,abd0,0N,SP,-0.23876623109342338,0.4566766133421354
ss1,split25_lower,abd0,0N,TP,-0.08645437764746006,0.3049982299193273
ss1,split25_lower,abd0,20N,SP,-0.283407617158976,0.46070789895820874
ss1,split25_lower,abd0,20N,TP,-0.14240396981395104,0.27607785218102576
ss1,split25_lower,abd0,40N,SP,-0.26083138285264507,0.4742690220611868
ss1,split25_lower,abd0,40N,TP,-0.07156401279030722,0.2946409708172371
ss1,split25_lower,abd90,0N,SP,-0.010412364977999938,0.2680775015271882
ss1,split25_lower,abd90,0N,TP,-0.1444426754036101,0.35886918705622733
ss1,split25_lower,abd90,20N,SP,0.0006215400332394011,0.2343882173528173
ss1,split25_lower,abd90,20N,TP,-0.14866559901570037,0.3846958942559723
ss1,split25_lower,abd90,40N,SP,0.002237622019088309,0.22403516344644733
ss1,split25_lower,abd90,40N,TP,-0.17350090939595714,0.34663263250371024
ss1,split25_upper,ABER,0N,SP,-0.19124459433444804,0.1761629000031233
ss1,split25_upper,ABER,0N,TP,0.06079545038829004,0.4428371127784395
ss1,split25_upper,ABER,20N,SP,-0.24960369230031051,0.25301786084739575
ss1,split25_upper,ABER,20N,TP,-0.09761939095051134,0.46237328306245784
ss1,split25_upper,ABER,40N,SP,-0.1820856494596645,0.22557128467578605
ss1,split25_upper,ABER,40N,TP,-0.2295449436853736,0.41333467853251166
ss1,split25_upper,APP,0N,SP,-0.15874396929717632,0.2074312141544096
ss1,split25_upper,APP,0N,TP,-0.08950779675421587,0.2503684709808881
ss1,split25_upper,APP,20N,SP,-0.19484730263513458,0.26551117846768096
ss1,split25_upper,APP,20N,TP,-0.1741961440105224,0.370472192453133
ss1,split25_upper,APP,40N,SP,-0.16936093549088746,0.21962826245056422
ss1,split25_upper,APP,40N,TP,-0.15002782332760647,0.40689939255832847
ss1,split25_upper,abd0,0N,SP,-0.026847399112465913,0.2923601113171522
ss1,split25_upper,abd0,0N,TP,-0.0232262888040405,0.49989824774088504
ss1,split25_upper,abd0,20N,SP,0.007208924141918895,0.2548036689671771
ss1,split25_upper,abd0,20N,TP,-0.13431642042379505,0.4566684190267465
ss1,split25_upper,abd0,40N,SP,-0.04509182438743857,0.24218931285556744
ss1,split25_upper,abd0,40N,TP,-0.15160140219730764,0.4207197986226828
ss1,split25_upper,abd90,0N,SP,0.04604726511046787,0.19125021689568306
ss1,split25_upper,abd90,0N,TP,-0.0944711287486787,0.23045469153994166
ss1,split25_upper,abd90,20N,SP,0.04464467532507442,0.24673629130499475
ss1,split25_upper,abd90,20N,TP,-0.204472605652489,0.34459659362348816
ss1,split25_upper,abd90,40N,SP,0.053574583329723945,0.21122624227155232
ss1,split25_upper,abd90,40N,TP,-0.18828810803751167,0.2881489106609599
ss1,split50,ABER,0N,SP,-0.3015958101978198,0.27855087272232
ss1,split50,ABER,0N,TP,0.02110211232448464,0.18365436330147336
ss1,split50,ABER,20N,SP,-0.27181811902002795,0.2724491608363626
ss1,split50,ABER,20N,TP,0.01108632924618784,0.1916028763598991
ss1,split50,ABER,40N,SP,-0.3160069965932172,0.30254517682782095
ss1,split50,ABER,40N,TP,0.005611645550626043,0.32327158354686464
ss1,split50,APP,0N,SP,-0.22344707679243725,0.22754838979948044
