specimen,condition,load,muscle,position,plane,val_x,val_y,difference
S1_r,split50,20N,ss4,APP,SP,123.700890161584,118.26701416352412,5.433875998059875
S1_r,split50,20N,ss4,APP,TP,194.86750862386376,203.76397960710435,-8.89647098324059
S3_r,split50,20N,ss4,abd0,SP,146.0392245302004,146.5866870459486,-0.5474625157481796
S3_r,split50,20N,ss4,abd0,TP,190.28521294970187,190.11888218862285,0.16633076107902411
S4_l,split50,0N,ss4,abd90,SP,143.3394332885443,139.75343300720886,3.5860002813354583
S4_l,split50,0N,ss4,abd90,TP,197.18277319366493,202.96915975965427,-5.786386565989346
S5_l,split50,0N,ss1,ABER,SP,170.66801517158655,165.1955558702294,5.472459301357134
S5_l,split50,0N,ss1,ABER,TP,183.6786840201888,183.36140165149627,0.31728236869253124
S7_r,split50,20N,ss1,abd0,SP,195.8983832598817,198.1134617752383,-2.215078515356595
S7_r,split50,20N,ss1,abd0,TP,175.8315431319578,174.3933857692306,1.4381573627271962
S9_l,split50,20N,ss3,abd90,SP,180.47933487974825,170.6197058021261,9.859629077622145
S9_l,split50,20N,ss3,abd90,TP,164.33318273829127,162.07495332838192,2.2582294099093474
