specimen,condition,load,muscle,position,plane,val_x,val_y,difference
S1_r,split25_lower,20N,ss4,abd0,SP,149.73833262479727,149.78804231285756,-0.049709688060289636
S1_r,split25_lower,20N,ss4,abd0,TP,186.8605795407881,182.08371308577654,4.776866455011572
S2_r,split25_upper,20N,ss4,abd0,SP,140.60394742807736,145.55413112825738,-4.95018370018002
S2_r,split25_upper,20N,ss4,abd0,TP,187.94794308466524,188.16635654905264,-0.21841346438739606
S2_r,split25_lower,0N,ss4,abd90,SP,147.4395901481426,147.555770839302,-0.11618069115939988
S2_r,split25_lower,0N,ss4,abd90,TP,199.66216376487404,195.72425665166742,3.93790711320662
S3_r,split25_upper,0N,ss4,abd90,SP,146.95409661262144,147.73531586414794,-0.781219251526494
S3_r,split25_upper,0N,ss4,abd90,TP,204.55804689137565,200.61118810264787,3.9468587887277806
S3_r,split25_lower,0N,ss1,ABER,SP,161.28259916897298,165.5884153700078,-4.3058162010348155
S3_r,split25_lower,0N,ss1,ABER,TP,185.0292340905289,182.87199478667986,2.1572393038490247
S4_l,split25_upper,0N,ss1,ABER,SP,159.55855957090515,166.54504591947182,-6.986486348566672
S4_l,split25_upper,0N,ss1,ABER,TP,142.33812229680484,127.26000230535581,15.078119991449029
S4_l,split25_lower,0N,ss2,APP,SP,159.99771936464506,157.6948424825749,2.3028768820701657
S4_l,split25_lower,0N,ss2,APP,TP,192.50193855280656,191.10896454920035,1.3929740036062128
S5_l,split25_upper,0N,ss2,APP,SP,160.58541618875432,170.41129661122037,-9.825880422466042
S5_l,split25_upper,0N,ss2,APP,TP,197.99971761618465,193.09573638864182,4.903981227542829
S5_l,split25_lower,20N,ss1,abd0,SP,184.6711192134861,186.58197329696554,-1.9108540834794496
S5_l,split25_lower,20N,ss1,abd0,TP,184.6415351894316,183.6441132224527,0.9974219669789193
S6_r,split25_lower,20N,ss3,abd0,SP,170.6104522242809,171.0474452669988,-0.4369930427179156
S6_r,split25_lower,20N,ss3,abd0,TP,191.46188140934845,196.04218276349823,-4.580301354149782
S7_r,split25_upper,20N,ss3,abd0,SP,162.98241373683132,165.93521133080807,-2.9527975939767543
S7_r,split25_upper,20N,ss3,abd0,TP,168.1822814070892,168.2662817369322,-0.08400032984300765
S7_r,split25_lower,20N,ss3,abd90,SP,171.04630317444528,175.36499270941798,-4.318689534972691
S7_r,split25_lower,20N,ss3,abd90,TP,164.51081396737868,162.01323829225996,2.497575675118725
S9_l,split25_upper,0N,ss1,APP,SP,165.4873036515107,180.28718138489597,-14.799877733385273
S9_l,split25_upper,0N,ss1,APP,TP,166.3789247628251,167.41261857548056,-1.0336938126554571
S9_l,split25_lower,40N,ss1,abd0,SP,142.9991823791522,143.6571959409748,-0.6580135618225995
S9_l,split25_lower,40N,ss1,abd0,TP,174.8403694811101,167.4101849662505,7.430184514859576
