specimen,condition,load,muscle,position,plane,val_x,val_y,difference
S1_r,split25_lower,20N,ss4,abd0,SP,-0.5834716699582428,-0.5823403002246562,-0.001131369733586629
S1_r,split25_lower,20N,ss4,abd0,TP,-0.1203255001133948,-0.03638320236352075,-0.08394229774987405
S2_r,split25_upper,20N,ss4,abd0,SP,-0.8207029459331595,-0.68588913684736,-0.13481380908579954
S2_r,split25_upper,20N,ss4,abd0,TP,-0.1396123607579449,-0.14346889481739752,0.003856534059452632
S2_r,split25_lower,0N,ss4,abd90,SP,-0.6385481821698132,-0.6356069874446664,-0.0029411947251468673
S2_r,split25_lower,0N,ss4,abd90,TP,-0.3573270257875374,-0.2815450372994952,-0.07578198848804218
S3_r,split25_upper,0N,ss4,abd90,SP,-0.6507503413904988,-0.6313115455981291,-0.019438795792369734
S3_r,split25_upper,0N,ss4,abd90,TP,-0.4569401236116767,-0.3760907666774245,-0.08084935693425216
S3_r,split25_lower,0N,ss1,ABER,SP,-0.3388136359044861,-0.25696189812364645,-0.08185173778083965
S3_r,split25_lower,0N,ss1,ABER,TP,-0.0880633790851231,-0.050170250104357716,-0.037893128980765384
S4_l,split25_upper,0N,ss1,ABER,SP,-0.3727085349969896,-0.23917468530859423,-0.13353384968839535
S4_l,split25_upper,0N,ss1,ABER,TP,0.7718492734195608,1.3145903737290638,-0.5427411003095031
S4_l,split25_lower,0N,ss2,APP,SP,-0.3640032792587888,-0.41022409270794835,0.04622081344915957
S4_l,split25_lower,0N,ss2,APP,TP,-0.2217221407338727,-0.1963335442055615,-0.025388596528311186
S5_l,split25_upper,0N,ss2,APP,SP,-0.3524293531107117,-0.1689280221614127,-0.18350133094929902
S5_l,split25_upper,0N,ss2,APP,TP,-0.3249167510678218,-0.23262679762226324,-0.09228995344555857
S5_l,split25_lower,20N,ss1,abd0,SP,0.0817275351560198,0.11543198961433002,-0.03370445445831022
S5_l,split25_lower,20N,ss1,abd0,TP,-0.0810731290755299,-0.06339456632518933,-0.017678562750340562
S6_r,split25_lower,20N,ss3,abd0,SP,-0.1653443100293872,-0.15748499029895727,-0.007859319730429942
S6_r,split25_lower,20N,ss3,abd0,TP,-0.202757296777611,-0.2875439119972566,0.08478661521964559
S7_r,split25_upper,20N,ss3,abd0,SP,-0.3060661459020624,-0.2505293722604907,-0.05553677364157167
S7_r,split25_upper,20N,ss3,abd0,TP,0.2092432142778314,0.2077071003289122,0.0015361139489191988
S7_r,split25_lower,20N,ss3,abd90,SP,-0.1575433052968644,-0.0810632660403994,-0.07648003925646499
S7_r,split25_lower,20N,ss3,abd90,TP,0.2771232842073708,0.32466413427059715,-0.047540850063226336
S9_l,split25_upper,0N,ss1,APP,SP,-0.2563689998884806,0.005012328670614447,-0.26138132855909507
S9_l,split25_upper,0N,ss1,APP,TP,0.242312257311428,0.22328832853396996,0.019023928777458038
S9_l,split25_lower,40N,ss1,abd0,SP,-0.7536037267986422,-0.7357421912587723,-0.01786153553986991
S9_l,split25_lower,40N,ss1,abd0,TP,0.0902706168420321,0.22333225624387493,-0.13306163940184285
